Date_Time,Region,PM1,PM2_5,PM10
2018-12-31 11:52,PMS70035,81,140,154
2018-12-31 11:53,PMS70035,83,132,147
2018-12-31 11:54,PMS70035,84,134,150
2018-12-31 11:55,PMS70035,84,138,149
2018-12-31 11:56,PMS70035,85,139,151
2018-12-31 11:57,PMS70035,90,158,181
2018-12-31 11:58,PMS70035,90,158,181
2018-12-31 11:59,PMS70035,88,144,161
2018-12-31 12:00,PMS70035,88,145,164
2018-12-31 12:01,PMS70035,92,153,169
2018-12-31 12:02,PMS70035,90,152,166
2018-12-31 12:03,PMS70035,85,152,166
2018-12-31 12:04,PMS70035,86,147,165
2018-12-31 12:05,PMS70035,87,142,163
2018-12-31 12:06,PMS70035,85,143,165
2018-12-31 12:07,PMS70035,88,155,168
2018-12-31 12:08,PMS70035,87,152,166
2018-12-31 12:09,PMS70035,95,159,180
2018-12-31 12:10,PMS70035,92,156,177
2018-12-31 12:11,PMS70035,80,132,150
2018-12-31 12:12,PMS70035,80,132,150
2018-12-31 12:13,PMS70035,83,136,153
2018-12-31 12:14,PMS70035,83,136,153
2018-12-31 12:15,PMS70035,72,120,132
2018-12-31 12:16,PMS70035,70,117,129
2018-12-31 12:17,PMS70035,71,110,121
2018-12-31 12:18,PMS70035,71,109,119
2018-12-31 12:19,PMS70035,66,114,130
2018-12-31 12:20,PMS70035,65,113,129
2018-12-31 12:21,PMS70035,63,103,111
2018-12-31 12:22,PMS70035,63,103,111
2018-12-31 12:23,PMS70035,70,113,127
2018-12-31 12:24,PMS70035,70,112,126
2018-12-31 12:25,PMS70035,73,117,134
2018-12-31 12:26,PMS70035,73,117,134
2018-12-31 12:27,PMS70035,74,118,129
2018-12-31 12:28,PMS70035,74,118,129
2018-12-31 12:29,PMS70035,72,116,122
2018-12-31 12:30,PMS70035,72,116,120
2018-12-31 12:31,PMS70035,63,104,114
2018-12-31 12:32,PMS70035,63,104,114
2018-12-31 12:33,PMS70035,68,112,123
2018-12-31 12:34,PMS70035,69,113,125
2018-12-31 12:35,PMS70035,68,105,116
2018-12-31 12:36,PMS70035,68,105,116
2018-12-31 12:37,PMS70035,69,111,126
2018-12-31 12:38,PMS70035,69,111,126
2018-12-31 12:39,PMS70035,70,109,122
2018-12-31 12:40,PMS70035,70,109,122
2018-12-31 12:41,PMS70035,67,109,123
2018-12-31 12:42,PMS70035,65,108,122
2018-12-31 12:43,PMS70035,66,110,118
2018-12-31 12:44,PMS70035,66,110,118
2018-12-31 12:45,PMS70035,65,106,122
2018-12-31 12:46,PMS70035,66,106,122
2018-12-31 12:47,PMS70035,61,96,108
2018-12-31 12:48,PMS70035,60,94,107
2018-12-31 12:49,PMS70035,70,111,123
2018-12-31 12:50,PMS70035,70,111,123
2018-12-31 12:51,PMS70035,66,104,112
2018-12-31 12:52,PMS70035,66,104,112
2018-12-31 12:53,PMS70035,64,108,120
2018-12-31 12:54,PMS70035,64,108,120
2018-12-31 12:55,PMS70035,64,103,111
2018-12-31 12:56,PMS70035,64,102,109
2018-12-31 12:57,PMS70035,60,95,104
2018-12-31 12:58,PMS70035,60,95,104
2018-12-31 12:59,PMS70035,68,109,121
2018-12-31 13:00,PMS70035,69,108,121
2018-12-31 13:01,PMS70035,62,95,108
2018-12-31 13:15,PMS70035,50,78,82
2018-12-31 13:31,PMS70035,50,82,92
2018-12-31 13:44,PMS70035,56,90,99
2018-12-31 13:54,PMS70035,52,84,94
2018-12-31 14:00,PMS70035,54,84,92
2018-12-31 14:15,PMS70035,52,82,90
2018-12-31 14:24,PMS70035,52,85,96
2018-12-31 14:32,PMS70035,55,80,88
2018-12-31 14:42,PMS70035,57,91,98
2018-12-31 14:50,PMS70035,54,83,90
2018-12-31 14:56,PMS70035,57,88,98
2018-12-31 15:04,PMS70035,61,101,119
2018-12-31 15:11,PMS70035,57,84,90
2018-12-31 15:19,PMS70035,55,87,90
2018-12-31 15:28,PMS70035,56,89,98
2018-12-31 15:36,PMS70035,50,82,88
2018-12-31 15:50,PMS70035,55,84,91
2018-12-31 16:01,PMS70035,49,75,81
2018-12-31 16:10,PMS70035,47,71,79
2018-12-31 16:21,PMS70035,48,74,84
2018-12-31 16:30,PMS70035,40,60,72
2018-12-31 16:49,PMS70035,33,52,68
2018-12-31 17:01,PMS70035,33,52,67
2018-12-31 17:15,PMS70035,38,61,73
2018-12-31 17:29,PMS70035,40,60,75
2018-12-31 17:45,PMS70035,45,71,79
2018-12-31 18:01,PMS70035,53,81,91
2018-12-31 18:15,PMS70035,57,88,96
2018-12-31 18:30,PMS70035,73,109,123
2018-12-31 18:46,PMS70035,88,139,149
2018-12-31 19:02,PMS70035,90,132,146
2018-12-31 19:20,PMS70035,94,147,160
2018-12-31 19:39,PMS70035,94,145,162
2018-12-31 19:56,PMS70035,101,157,179
2018-12-31 20:13,PMS70035,109,165,181
2018-12-31 20:30,PMS70035,117,179,197
2018-12-31 20:48,PMS70035,132,208,229
2018-12-31 21:05,PMS70035,121,184,200
2018-12-31 21:24,PMS70035,125,193,206
2018-12-31 21:40,PMS70035,145,228,259
2018-12-31 21:57,PMS70035,148,228,249
2018-12-31 22:28,PMS70035,181,288,313
2018-12-31 22:46,PMS70035,187,298,333
2018-12-31 23:04,PMS70035,184,296,331
2018-12-31 23:21,PMS70035,181,302,337
2018-12-31 23:41,PMS70035,193,317,350
2018-12-31 23:59,PMS70035,197,327,359
2019-01-01 00:16,PMS70035,194,316,347
2019-01-01 00:36,PMS70035,181,283,310
2019-01-01 00:56,PMS70035,176,291,318
2019-01-01 01:18,PMS70035,181,297,339
2019-01-01 01:35,PMS70035,174,289,319
2019-01-01 01:59,PMS70035,180,297,326
2019-01-01 02:18,PMS70035,174,284,320
2019-01-01 02:42,PMS70035,170,276,316
2019-01-01 02:53,PMS70035,172,294,324
2019-01-01 03:15,PMS70035,174,295,336
2019-01-01 03:26,PMS70035,166,283,318
2019-01-01 03:48,PMS70035,169,287,331
2019-01-01 04:11,PMS70035,154,255,287
2019-01-01 04:30,PMS70035,140,232,263
2019-01-01 04:51,PMS70035,140,232,260
2019-01-01 05:11,PMS70035,138,226,249
2019-01-01 05:29,PMS70035,137,225,247
2019-01-01 05:30,PMS70035,137,229,258
2019-01-01 05:31,PMS70035,139,223,242
2019-01-01 05:32,PMS70035,138,230,257
2019-01-01 05:33,PMS70035,138,231,253
2019-01-01 05:34,PMS70035,134,228,263
2019-01-01 05:35,PMS70035,137,225,257
2019-01-01 05:36,PMS70035,138,231,262
2019-01-01 05:37,PMS70035,139,220,238
2019-01-01 06:28,PMS70035,146,252,281
2019-01-01 07:04,PMS70035,153,266,312
2019-01-01 07:28,PMS70035,146,261,293
2019-01-01 07:58,PMS70035,145,253,298
2019-01-01 08:54,PMS70035,157,277,311
2019-01-01 09:19,PMS70035,141,249,279
2019-01-01 09:45,PMS70035,122,210,237
2019-01-01 10:32,PMS70035,109,181,201
2019-01-01 11:17,PMS70035,93,151,168
2019-01-01 12:08,PMS70035,58,94,102
2019-01-01 12:33,PMS70035,53,82,87
2019-01-01 12:34,PMS70035,52,83,87
2019-01-01 13:01,PMS70035,47,72,77
2019-01-01 13:34,PMS70035,36,55,65
2019-01-01 14:17,PMS70035,35,55,65
2019-01-01 14:50,PMS70035,32,48,61
2019-01-01 15:22,PMS70035,40,63,74
2019-01-01 15:59,PMS70035,38,60,72
2019-01-01 16:57,PMS70035,39,60,73
2019-01-01 17:41,PMS70035,47,73,80
2019-01-01 18:23,PMS70035,60,95,109
2019-01-01 19:10,PMS70035,102,148,159
2019-01-01 19:50,PMS70035,132,196,218
2019-01-01 20:23,PMS70035,131,203,221
2019-01-01 20:58,PMS70035,155,240,267
2019-01-01 21:36,PMS70035,165,266,290
2019-01-01 22:18,PMS70035,172,278,307
2019-01-01 23:05,PMS70035,173,275,310
2019-01-01 23:44,PMS70035,155,245,266
2019-01-01 23:58,PMS70035,164,277,313
2019-01-01 23:59,PMS70035,160,256,276
2019-01-02 00:00,PMS70035,163,262,291
2019-01-02 00:36,PMS70035,141,227,262
2019-01-02 00:37,PMS70035,147,242,260
2019-01-02 00:38,PMS70035,141,231,249
2019-01-02 00:39,PMS70035,146,248,271
2019-01-02 00:40,PMS70035,157,251,283
2019-01-02 00:41,PMS70035,159,262,290
2019-01-02 00:42,PMS70035,150,256,289
2019-01-02 00:43,PMS70035,150,243,272
2019-01-02 00:44,PMS70035,155,250,280
2019-01-02 00:45,PMS70035,157,247,269
2019-01-02 00:46,PMS70035,161,261,285
2019-01-02 00:47,PMS70035,157,253,275
2019-01-02 00:48,PMS70035,157,255,285
2019-01-02 00:49,PMS70035,159,252,274
2019-01-02 00:50,PMS70035,164,263,290
2019-01-02 00:51,PMS70035,170,271,299
2019-01-02 00:52,PMS70035,166,268,290
2019-01-02 00:53,PMS70035,162,258,293
2019-01-02 00:54,PMS70035,165,255,285
2019-01-02 00:55,PMS70035,155,245,269
2019-01-02 00:56,PMS70035,155,253,285
2019-01-02 00:57,PMS70035,155,252,271
2019-01-02 00:58,PMS70035,158,247,271
2019-01-02 00:59,PMS70035,159,252,281
2019-01-02 01:00,PMS70035,161,257,281
2019-01-02 01:01,PMS70035,171,271,299
2019-01-02 01:02,PMS70035,164,259,295
2019-01-02 01:03,PMS70035,161,272,304
2019-01-02 01:04,PMS70035,166,274,306
2019-01-02 01:05,PMS70035,163,267,293
2019-01-02 01:06,PMS70035,171,285,313
2019-01-02 01:07,PMS70035,165,260,281
2019-01-02 01:08,PMS70035,168,275,300
2019-01-02 01:09,PMS70035,171,277,309
2019-01-02 01:10,PMS70035,175,281,309
2019-01-02 01:11,PMS70035,176,283,322
2019-01-02 01:12,PMS70035,178,287,312
2019-01-02 01:13,PMS70035,175,286,324
2019-01-02 01:14,PMS70035,175,292,320
2019-01-02 01:15,PMS70035,176,286,320
2019-01-02 01:16,PMS70035,177,285,315
2019-01-02 01:17,PMS70035,179,291,325
2019-01-02 01:18,PMS70035,178,287,309
2019-01-02 01:19,PMS70035,180,285,313
2019-01-02 01:20,PMS70035,178,291,323
2019-01-02 01:21,PMS70035,177,283,313
2019-01-02 01:22,PMS70035,180,287,320
2019-01-02 01:23,PMS70035,175,283,313
2019-01-02 01:24,PMS70035,168,271,291
2019-01-02 01:25,PMS70035,163,260,290
2019-01-02 01:26,PMS70035,171,270,300
2019-01-02 01:27,PMS70035,171,279,317
2019-01-02 01:28,PMS70035,176,293,327
2019-01-02 01:29,PMS70035,175,278,307
2019-01-02 01:30,PMS70035,177,287,311
2019-01-02 01:31,PMS70035,166,264,302
2019-01-02 01:32,PMS70035,174,276,311
2019-01-02 01:33,PMS70035,176,292,325
2019-01-02 01:34,PMS70035,177,280,309
2019-01-02 01:35,PMS70035,181,290,329
2019-01-02 01:36,PMS70035,180,292,321
2019-01-02 01:37,PMS70035,183,301,334
2019-01-02 01:38,PMS70035,179,293,325
2019-01-02 01:39,PMS70035,167,267,301
2019-01-02 01:40,PMS70035,181,292,317
2019-01-02 01:41,PMS70035,179,293,331
2019-01-02 01:42,PMS70035,177,291,321
2019-01-02 01:43,PMS70035,179,283,322
2019-01-02 01:44,PMS70035,176,295,329
2019-01-02 01:45,PMS70035,175,291,326
2019-01-02 01:46,PMS70035,181,297,329
2019-01-02 01:47,PMS70035,165,269,305
2019-01-02 01:48,PMS70035,172,281,304
2019-01-02 01:49,PMS70035,173,291,323
2019-01-02 01:50,PMS70035,171,274,303
2019-01-02 01:51,PMS70035,182,294,327
2019-01-02 01:52,PMS70035,177,283,316
2019-01-02 01:53,PMS70035,180,292,332
2019-01-02 01:54,PMS70035,180,301,328
2019-01-02 01:55,PMS70035,174,293,335
2019-01-02 01:56,PMS70035,169,271,302
2019-01-02 01:57,PMS70035,172,276,307
2019-01-02 01:58,PMS70035,175,287,317
2019-01-02 01:59,PMS70035,179,294,319
2019-01-02 02:00,PMS70035,177,287,314
2019-01-02 02:01,PMS70035,179,293,328
2019-01-02 02:02,PMS70035,178,284,305
2019-01-02 02:03,PMS70035,180,301,330
2019-01-02 02:04,PMS70035,179,293,327
2019-01-02 02:05,PMS70035,176,296,328
2019-01-02 02:06,PMS70035,179,289,325
2019-01-02 02:07,PMS70035,175,293,321
2019-01-02 02:08,PMS70035,175,290,322
2019-01-02 02:09,PMS70035,179,307,329
2019-01-02 02:10,PMS70035,178,292,318
2019-01-02 02:11,PMS70035,178,292,323
2019-01-02 02:12,PMS70035,177,281,312
2019-01-02 02:13,PMS70035,183,292,325
2019-01-02 02:14,PMS70035,177,290,321
2019-01-02 02:15,PMS70035,182,294,324
2019-01-02 02:16,PMS70035,173,282,313
2019-01-02 02:17,PMS70035,178,293,332
2019-01-02 02:18,PMS70035,171,281,309
2019-01-02 02:19,PMS70035,171,272,302
2019-01-02 02:20,PMS70035,172,280,306
2019-01-02 02:21,PMS70035,183,309,339
2019-01-02 02:22,PMS70035,177,287,322
2019-01-02 02:23,PMS70035,172,294,319
2019-01-02 02:24,PMS70035,181,295,322
2019-01-02 02:25,PMS70035,179,290,319
2019-01-02 02:26,PMS70035,178,284,318
2019-01-02 02:27,PMS70035,179,292,327
2019-01-02 02:28,PMS70035,185,303,344
2019-01-02 02:29,PMS70035,185,305,345
2019-01-02 02:30,PMS70035,180,300,329
2019-01-02 02:31,PMS70035,182,309,341
2019-01-02 02:32,PMS70035,184,299,333
2019-01-02 02:33,PMS70035,184,309,340
2019-01-02 02:34,PMS70035,184,301,347
2019-01-02 02:35,PMS70035,182,296,328
2019-01-02 02:36,PMS70035,178,288,313
2019-01-02 02:37,PMS70035,180,293,317
2019-01-02 02:38,PMS70035,175,285,323
2019-01-02 02:39,PMS70035,185,295,338
2019-01-02 02:40,PMS70035,180,293,328
2019-01-02 02:41,PMS70035,185,299,330
2019-01-02 02:42,PMS70035,175,279,314
2019-01-02 02:43,PMS70035,180,294,327
2019-01-02 02:44,PMS70035,178,289,326
2019-01-02 02:45,PMS70035,176,284,315
2019-01-02 02:46,PMS70035,185,301,331
2019-01-02 02:47,PMS70035,180,300,332
2019-01-02 02:48,PMS70035,181,299,333
2019-01-02 02:49,PMS70035,179,294,320
2019-01-02 02:50,PMS70035,178,299,327
2019-01-02 02:51,PMS70035,178,293,328
2019-01-02 02:52,PMS70035,171,285,316
2019-01-02 02:53,PMS70035,173,285,322
2019-01-02 02:54,PMS70035,172,286,324
2019-01-02 02:55,PMS70035,172,287,317
2019-01-02 02:56,PMS70035,177,293,326
2019-01-02 02:57,PMS70035,175,288,324
2019-01-02 02:58,PMS70035,175,291,314
2019-01-02 02:59,PMS70035,176,289,318
2019-01-02 03:00,PMS70035,178,288,315
2019-01-02 03:01,PMS70035,181,290,320
2019-01-02 03:02,PMS70035,176,292,330
2019-01-02 03:03,PMS70035,171,286,313
2019-01-02 03:04,PMS70035,172,286,329
2019-01-02 03:05,PMS70035,167,275,302
2019-01-02 03:06,PMS70035,171,279,306
2019-01-02 03:07,PMS70035,167,279,306
2019-01-02 03:08,PMS70035,169,270,301
2019-01-02 03:09,PMS70035,169,283,311
2019-01-02 03:10,PMS70035,166,279,313
2019-01-02 03:11,PMS70035,169,283,317
2019-01-02 03:12,PMS70035,165,270,297
2019-01-02 03:13,PMS70035,170,291,325
2019-01-02 03:14,PMS70035,172,286,322
2019-01-02 03:15,PMS70035,164,269,302
2019-01-02 03:16,PMS70035,168,274,304
2019-01-02 03:17,PMS70035,169,282,311
2019-01-02 03:18,PMS70035,174,288,318
2019-01-02 03:19,PMS70035,177,290,318
2019-01-02 03:20,PMS70035,178,290,316
2019-01-02 03:21,PMS70035,170,279,315
2019-01-02 03:22,PMS70035,171,286,317
2019-01-02 03:23,PMS70035,170,281,302
2019-01-02 03:24,PMS70035,160,263,299
2019-01-02 03:25,PMS70035,175,288,328
2019-01-02 03:26,PMS70035,170,281,318
2019-01-02 03:27,PMS70035,172,285,320
2019-01-02 03:28,PMS70035,174,285,309
2019-01-02 03:29,PMS70035,169,285,320
2019-01-02 03:30,PMS70035,170,271,291
2019-01-02 03:31,PMS70035,176,294,323
2019-01-02 03:32,PMS70035,171,290,324
2019-01-02 03:33,PMS70035,173,279,306
2019-01-02 03:34,PMS70035,174,280,310
2019-01-02 03:35,PMS70035,172,279,306
2019-01-02 03:36,PMS70035,171,277,299
2019-01-02 03:37,PMS70035,164,265,291
2019-01-02 03:38,PMS70035,169,270,296
2019-01-02 03:39,PMS70035,169,274,299
2019-01-02 03:40,PMS70035,169,278,309
2019-01-02 03:41,PMS70035,169,280,311
2019-01-02 03:42,PMS70035,173,277,313
2019-01-02 03:43,PMS70035,173,287,313
2019-01-02 03:44,PMS70035,169,274,303
2019-01-02 03:45,PMS70035,172,292,322
2019-01-02 03:46,PMS70035,168,280,312
2019-01-02 03:47,PMS70035,175,283,316
2019-01-02 03:48,PMS70035,173,287,317
2019-01-02 03:49,PMS70035,170,277,308
2019-01-02 03:50,PMS70035,178,291,317
2019-01-02 03:51,PMS70035,171,278,315
2019-01-02 03:52,PMS70035,174,278,310
2019-01-02 03:53,PMS70035,166,272,300
2019-01-02 03:54,PMS70035,170,283,315
2019-01-02 03:55,PMS70035,173,291,328
2019-01-02 03:56,PMS70035,165,278,305
2019-01-02 03:57,PMS70035,172,284,318
2019-01-02 03:58,PMS70035,171,281,314
2019-01-02 03:59,PMS70035,163,284,321
2019-01-02 04:00,PMS70035,170,285,318
2019-01-02 04:01,PMS70035,168,282,330
2019-01-02 04:02,PMS70035,173,285,309
2019-01-02 04:03,PMS70035,171,283,324
2019-01-02 04:04,PMS70035,173,277,308
2019-01-02 04:05,PMS70035,168,283,319
2019-01-02 04:06,PMS70035,168,281,307
2019-01-02 04:07,PMS70035,163,269,304
2019-01-02 04:08,PMS70035,168,276,308
2019-01-02 04:09,PMS70035,173,289,329
2019-01-02 04:10,PMS70035,161,265,298
2019-01-02 04:11,PMS70035,164,275,307
2019-01-02 04:12,PMS70035,166,274,298
2019-01-02 04:13,PMS70035,163,273,305
2019-01-02 04:14,PMS70035,165,267,301
2019-01-02 04:15,PMS70035,170,283,311
2019-01-02 04:16,PMS70035,168,290,314
2019-01-02 04:17,PMS70035,177,287,319
2019-01-02 04:18,PMS70035,171,283,313
2019-01-02 04:19,PMS70035,172,285,319
2019-01-02 04:20,PMS70035,166,289,315
2019-01-02 04:21,PMS70035,167,269,307
2019-01-02 04:22,PMS70035,166,276,299
2019-01-02 04:23,PMS70035,168,279,315
2019-01-02 04:24,PMS70035,170,282,310
2019-01-02 04:25,PMS70035,174,287,317
2019-01-02 04:26,PMS70035,170,283,316
2019-01-02 04:27,PMS70035,176,289,326
2019-01-02 04:28,PMS70035,171,281,311
2019-01-02 04:29,PMS70035,159,264,295
2019-01-02 04:30,PMS70035,163,265,300
2019-01-02 04:31,PMS70035,161,263,295
2019-01-02 04:32,PMS70035,169,274,299
2019-01-02 04:33,PMS70035,174,286,321
2019-01-02 04:34,PMS70035,160,275,312
2019-01-02 04:35,PMS70035,173,277,302
2019-01-02 04:36,PMS70035,168,279,314
2019-01-02 04:37,PMS70035,162,267,301
2019-01-02 04:38,PMS70035,166,281,318
2019-01-02 04:39,PMS70035,163,269,297
2019-01-02 04:40,PMS70035,166,273,305
2019-01-02 04:41,PMS70035,167,271,301
2019-01-02 04:42,PMS70035,151,245,268
2019-01-02 04:43,PMS70035,166,279,309
2019-01-02 04:44,PMS70035,163,268,300
2019-01-02 04:45,PMS70035,158,259,284
2019-01-02 04:46,PMS70035,162,273,305
2019-01-02 04:47,PMS70035,167,279,321
2019-01-02 04:48,PMS70035,170,272,293
2019-01-02 04:49,PMS70035,157,251,275
2019-01-02 04:50,PMS70035,162,262,286
2019-01-02 04:51,PMS70035,168,281,307
2019-01-02 04:52,PMS70035,163,273,315
2019-01-02 04:53,PMS70035,164,268,300
2019-01-02 04:54,PMS70035,167,275,301
2019-01-02 04:55,PMS70035,165,267,302
2019-01-02 04:56,PMS70035,159,265,302
2019-01-02 04:57,PMS70035,164,277,307
2019-01-02 04:58,PMS70035,171,274,316
2019-01-02 04:59,PMS70035,170,281,306
2019-01-02 05:00,PMS70035,172,287,324
2019-01-02 05:01,PMS70035,175,292,333
2019-01-02 05:02,PMS70035,179,301,333
2019-01-02 05:03,PMS70035,174,292,327
2019-01-02 05:04,PMS70035,180,294,325
2019-01-02 05:05,PMS70035,170,287,316
2019-01-02 05:06,PMS70035,170,284,312
2019-01-02 05:07,PMS70035,168,276,309
2019-01-02 05:08,PMS70035,175,283,314
2019-01-02 05:09,PMS70035,168,280,305
2019-01-02 05:10,PMS70035,169,283,316
2019-01-02 05:11,PMS70035,165,269,300
2019-01-02 05:12,PMS70035,165,275,319
2019-01-02 05:13,PMS70035,159,263,289
2019-01-02 05:14,PMS70035,163,265,291
2019-01-02 05:15,PMS70035,170,282,317
2019-01-02 05:16,PMS70035,164,277,309
2019-01-02 05:17,PMS70035,160,264,296
2019-01-02 05:18,PMS70035,157,262,295
2019-01-02 05:19,PMS70035,162,267,292
2019-01-02 05:20,PMS70035,156,256,276
2019-01-02 05:21,PMS70035,153,246,272
2019-01-02 05:22,PMS70035,161,266,298
2019-01-02 05:23,PMS70035,163,260,289
2019-01-02 05:24,PMS70035,157,261,293
2019-01-02 05:25,PMS70035,161,259,279
2019-01-02 05:26,PMS70035,168,270,305
2019-01-02 05:27,PMS70035,170,287,320
2019-01-02 05:28,PMS70035,169,283,308
2019-01-02 05:29,PMS70035,165,283,317
2019-01-02 05:30,PMS70035,169,288,315
2019-01-02 05:31,PMS70035,178,289,317
2019-01-02 05:32,PMS70035,166,283,314
2019-01-02 05:33,PMS70035,173,293,319
2019-01-02 05:34,PMS70035,164,270,305
2019-01-02 05:35,PMS70035,167,270,301
2019-01-02 05:36,PMS70035,153,252,287
2019-01-02 05:37,PMS70035,156,263,294
2019-01-02 05:38,PMS70035,163,271,298
2019-01-02 05:39,PMS70035,159,262,291
2019-01-02 05:40,PMS70035,164,275,299
2019-01-02 05:41,PMS70035,166,277,300
2019-01-02 05:42,PMS70035,169,282,312
2019-01-02 05:43,PMS70035,171,286,315
2019-01-02 05:44,PMS70035,173,287,324
2019-01-02 05:45,PMS70035,172,288,322
2019-01-02 05:46,PMS70035,162,269,298
2019-01-02 05:47,PMS70035,159,262,288
2019-01-02 05:48,PMS70035,163,272,297
2019-01-02 05:49,PMS70035,162,273,313
2019-01-02 05:50,PMS70035,164,267,299
2019-01-02 05:51,PMS70035,161,269,299
2019-01-02 05:52,PMS70035,158,267,297
2019-01-02 05:53,PMS70035,159,258,296
2019-01-02 05:54,PMS70035,160,271,303
2019-01-02 05:55,PMS70035,159,268,299
2019-01-02 05:56,PMS70035,162,256,283
2019-01-02 05:57,PMS70035,161,265,288
2019-01-02 05:58,PMS70035,155,256,280
2019-01-02 05:59,PMS70035,152,254,278
2019-01-02 06:00,PMS70035,151,243,277
2019-01-02 06:01,PMS70035,153,243,272
2019-01-02 06:02,PMS70035,154,255,285
2019-01-02 06:03,PMS70035,159,260,292
2019-01-02 06:04,PMS70035,160,262,292
2019-01-02 06:05,PMS70035,151,246,283
2019-01-02 06:06,PMS70035,152,239,268
2019-01-02 06:07,PMS70035,156,249,279
2019-01-02 06:08,PMS70035,157,257,283
2019-01-02 06:09,PMS70035,165,265,296
2019-01-02 06:10,PMS70035,165,272,315
2019-01-02 06:11,PMS70035,161,263,290
2019-01-02 06:12,PMS70035,163,276,303
2019-01-02 06:13,PMS70035,160,264,297
2019-01-02 06:14,PMS70035,163,273,309
2019-01-02 06:15,PMS70035,164,281,314
2019-01-02 06:16,PMS70035,169,275,302
2019-01-02 06:17,PMS70035,163,267,294
2019-01-02 06:18,PMS70035,172,285,318
2019-01-02 06:19,PMS70035,163,267,290
2019-01-02 06:20,PMS70035,160,274,314
2019-01-02 06:21,PMS70035,164,275,320
2019-01-02 06:22,PMS70035,160,265,299
2019-01-02 06:23,PMS70035,161,262,295
2019-01-02 06:24,PMS70035,166,274,312
2019-01-02 06:25,PMS70035,167,275,315
2019-01-02 06:26,PMS70035,161,269,291
2019-01-02 06:27,PMS70035,158,264,300
2019-01-02 06:28,PMS70035,165,275,307
2019-01-02 06:29,PMS70035,160,273,292
2019-01-02 06:30,PMS70035,164,274,302
2019-01-02 06:31,PMS70035,164,265,295
2019-01-02 06:32,PMS70035,160,270,299
2019-01-02 06:33,PMS70035,171,279,311
2019-01-02 06:34,PMS70035,159,270,297
2019-01-02 06:35,PMS70035,162,267,299
2019-01-02 06:36,PMS70035,159,256,280
2019-01-02 06:37,PMS70035,160,262,287
2019-01-02 06:38,PMS70035,158,264,297
2019-01-02 06:39,PMS70035,157,269,295
2019-01-02 06:40,PMS70035,157,258,285
2019-01-02 06:41,PMS70035,158,266,294
2019-01-02 06:42,PMS70035,165,264,290
2019-01-02 06:43,PMS70035,164,271,301
2019-01-02 06:44,PMS70035,161,267,312
2019-01-02 06:45,PMS70035,163,259,294
2019-01-02 06:46,PMS70035,160,274,297
2019-01-02 06:47,PMS70035,168,272,304
2019-01-02 06:48,PMS70035,164,274,302
2019-01-02 06:49,PMS70035,168,281,313
2019-01-02 06:50,PMS70035,166,280,320
2019-01-02 06:51,PMS70035,159,267,299
2019-01-02 06:52,PMS70035,167,281,310
2019-01-02 06:53,PMS70035,172,289,334
2019-01-02 06:54,PMS70035,173,286,314
2019-01-02 06:55,PMS70035,160,267,294
